# CLASS v3 transfer functions at z = 1000, Newtonian gauge,
# normalised to unit primordial curvature (output_format='class').
# theta convention: d(delta)/dtau = -theta, theta in 1/Mpc (c=1).
# cosmology: h=0.71, Omega_b=0.044, Omega_cdm=0.226, A_s=2.1e-09, n_s=0.965, k_pivot=0.05/Mpc
# k[1/Mpc]  delta_b  delta_cdm  theta_b[1/Mpc]  theta_cdm[1/Mpc]
8.823469229219224985e+01 -1.584655441042375879e+00 -2.266959908523365073e+02 6.436243499106317212e-02 7.488542749791057274e-01
1.110808963284797670e+02 -1.634532515831625954e+00 -2.338704562941446738e+02 6.637786815536678153e-02 7.724556715193853229e-01
1.398425631527966004e+02 -1.684076300920472224e+00 -2.410314427890742195e+02 6.837378797822557530e-02 7.959983194828416098e-01
1.760513564034862952e+02 -1.733281067729490976e+00 -2.481928967881823951e+02 7.034628036777260118e-02 8.195415995701946787e-01
2.216355263571806518e+02 -1.781804196010004837e+00 -2.553399390568541776e+02 7.227529772445653866e-02 8.430228747764001440e-01
2.790225962874307015e+02 -1.829592679435047664e+00 -2.625052811192122704e+02 7.414901859903184900e-02 8.665801618201179890e-01
3.512686369310313808e+02 -1.875439019884495240e+00 -2.696154220445097849e+02 7.590270422040028275e-02 8.899046915221014986e-01
4.422210133987745735e+02 -1.919262650774594015e+00 -2.767620015114779903e+02 7.750798982604358012e-02 9.133818715728302395e-01
5.567232713970861369e+02 -1.959452138520098030e+00 -2.839255595310880835e+02 7.885953576063853276e-02 9.369293080596697854e-01
7.008730736989725756e+02 -1.993015404748139208e+00 -2.910265696080900284e+02 7.977393736970037064e-02 9.602132777659846408e-01
8.823469229219227827e+02 -2.016831118491243746e+00 -2.981207152357371797e+02 8.002937617882004140e-02 9.834681505316875683e-01
1.110808963284797983e+03 -2.024656486495596486e+00 -3.051343703254574962e+02 7.923374269855061602e-02 1.006383491497137017e+00
1.398425631527966289e+03 -2.008917899630117798e+00 -3.121717130547971806e+02 7.688817698504353537e-02 1.029399078916350296e+00
1.760513564034863293e+03 -1.956791581256850820e+00 -3.191599603665816289e+02 7.224831090826248914e-02 1.052205278319849224e+00
2.216355263571807427e+03 -1.851707955467142064e+00 -3.260220487804698450e+02 6.446828329149718873e-02 1.074480994350765828e+00
2.790225962874307697e+03 -1.676403346358995128e+00 -3.327422904595562727e+02 5.294485470062447463e-02 1.096156363385464738e+00
3.512686369310314149e+03 -1.422099858296451469e+00 -3.395033380699539975e+02 3.807918506632146372e-02 1.117999129759535748e+00
4.422210133987746303e+03 -1.101892455462948783e+00 -3.461865586413076699e+02 2.218776801598280196e-02 1.139510187461699964e+00
5.567232713970863188e+03 -7.676065725247475102e-01 -3.526112462744138725e+02 9.533812197018680032e-03 1.159934565117840544e+00
7.008730736989728030e+03 -4.916700322514104826e-01 -3.587967561700157830e+02 3.260511989137614922e-03 1.179357459641833250e+00
8.823469229219230328e+03 -3.099005677262245406e-01 -3.650070962635272735e+02 1.788032490552931338e-03 1.198889683085428981e+00
1.110808963284798301e+04 -1.988166318312637737e-01 -3.706539753753228865e+02 1.229047824511062762e-03 1.216068723884870639e+00
1.398425631527966834e+04 -1.272965679354273738e-01 -3.760710270331450715e+02 7.484899615285426277e-04 1.232292404051556156e+00
