# Power spectra at z = 1000 [Mpc^3] from CLASS transfer functions;
# last column is the direct CLASS P_m(k) for cross-checking.
# k[1/Mpc]  P_b  P_cdm  P_m  P_m_direct
6.534242663715717154e-04 2.021636119164910212e+02 2.021657140964009614e+02 2.021653715181888344e+02 2.021651864516644821e+02
6.686444727642221154e-04 1.886313251020411315e+02 1.886334750987732889e+02 1.886331247280998582e+02 1.886329523170600737e+02
6.842192033068880512e-04 1.760097813427432527e+02 1.760119802681640522e+02 1.760116219238253734e+02 1.760114613331977580e+02
7.001567159278591608e-04 1.642375658997005985e+02 1.642398148962931259e+02 1.642394483920944879e+02 1.642392988437426311e+02
7.164654609072848915e-04 1.532574508302574543e+02 1.532597510829069165e+02 1.532593762257423009e+02 1.532592369934312160e+02
7.331540853576252320e-04 1.430160184566350665e+02 1.430183711800414130e+02 1.430179877719443198e+02 1.430178581797472646e+02
7.502314378084637110e-04 1.334634375210665667e+02 1.334658439448179763e+02 1.334654517853936682e+02 1.334653312013274729e+02
7.677065728981152847e-04 1.245533267826767911e+02 1.245557881866635483e+02 1.245553870673181365e+02 1.245552749048729311e+02
7.855887561745152981e-04 1.162423053904487489e+02 1.162448230663829065e+02 1.162444127765933501e+02 1.162443084862261884e+02
8.038874690079354443e-04 1.084900365858036935e+02 1.084926118666176791e+02 1.084921921891411642e+02 1.084920952599735671e+02
8.226124136181322752e-04 1.012588327500314307e+02 1.012614670007940987e+02 1.012610377131477577e+02 1.012609476683143725e+02
8.417735182185918236e-04 9.451358905847280312e+01 9.451628368013507497e+01 9.451584455398516127e+01 9.451576094890914703e+01
8.613809422806007919e-04 8.822154645212401647e+01 8.822430288584905611e+01 8.822385368630517632e+01 8.822377610648152313e+01
8.814450819199314653e-04 8.235216821948796451e+01 8.235498794365511799e+01 8.235452842975779220e+01 8.235445648878263114e+01
9.019765754090011255e-04 7.687363966506467250e+01 7.687652572638246795e+01 7.687605540158399720e+01 7.687598842398543297e+01
9.229863088174239871e-04 7.175776540800335113e+01 7.176072231603737350e+01 7.176024044538797853e+01 7.176017760832486658e+01
9.444854217839500051e-04 6.698702482903405553e+01 6.699005394361806509e+01 6.698956030545937779e+01 6.698950149459058423e+01
9.664853134228483305e-04 6.253785259310100741e+01 6.254095535304706033e+01 6.254044971284339738e+01 6.254039479685447134e+01
9.889976483678688656e-04 5.838832975033297146e+01 5.839150768206867070e+01 5.839098979099866682e+01 5.839093862624649489e+01
1.012034362956985628e-03 5.451801668706671222e+01 5.452127135315301842e+01 5.452074095649840046e+01 5.452069339084702904e+01
1.035607671561200550e-03 5.090791940196579191e+01 5.091125241738252782e+01 5.091070925187334240e+01 5.091066512885876705e+01
1.059730073060765384e-03 4.754040979520134869e+01 4.754382287349899627e+01 4.754326665979099431e+01 4.754322582292596877e+01
1.084414357472252661e-03 4.439902102967761977e+01 4.440251593632307703e+01 4.440194638659973947e+01 4.440190867996972202e+01
1.109673612729992652e-03 4.146840980417712785e+01 4.147198834189705252e+01 4.147140516225665152e+01 4.147137043205602680e+01
1.135521231625468818e-03 3.873434340556144662e+01 3.873800747954577162e+01 3.873741035937366917e+01 3.873737845644002675e+01
1.161970918908353289e-03 3.618353590332019820e+01 3.618728748613677482e+01 3.618667610382134825e+01 3.618664688399706364e+01
1.189036698552946259e-03 3.380359656515116029e+01 3.380743768681383443e+01 3.380681171136319563e+01 3.380678503591568074e+01
1.216732921193873452e-03 3.158297549040024066e+01 3.158690823794557900e+01 3.158626732905420198e+01 3.158624306482840893e+01
